event,x,y,z,adc,zelem,layer
74,-1.81436,0.226138,-6.22114,2,2,0
74,-1.81436,0.226138,-6.22114,2,2,0
74,-1.82423,0.0394336,-5.6417,18,2,0
74,-1.82323,0.0583724,-5.46528,6,2,0
74,-1.82437,0.0368984,-5.64511,1,2,0
74,-1.78835,0.717738,-5.3784,14,2,0
74,-1.78836,0.717623,-3.47456,5,3,0
74,-1.80917,0.324113,-2.35672,8,3,0
74,-1.80917,0.324113,-2.35693,7,3,0
74,-1.79265,0.636559,-2.23479,5,3,0
74,-1.78636,0.755429,-3.54086,19,3,0
74,-1.79265,0.636559,-2.23479,5,3,0
74,-1.7684,1.09494,-4.77292,12,3,0
74,-1.76793,1.10374,-4.33415,9,3,0
74,-1.78635,0.755531,-3.54029,18,3,0
74,-1.79393,0.612222,-3.99576,21,3,0
74,-1.79193,0.650091,-3.89207,34,3,0
74,-1.79299,0.630117,-3.50439,1,3,0
74,-1.78035,0.869015,-1.95285,6,4,0
74,-1.77098,1.04618,-1.88472,5,4,0
74,-1.79952,0.506642,0.289859,2,4,0
74,-1.78035,0.869015,-1.95285,6,4,0
74,-1.77098,1.04618,-1.8856,6,4,0
74,-1.79952,0.506642,0.289859,2,4,0
74,-1.82479,0.0288457,0.447658,15,4,0
74,-1.8248,0.028654,0.448173,14,4,0
74,-1.82356,0.0521091,-1.03179,6,4,0
74,-1.82359,0.0516618,-1.03179,4,4,0
74,-1.76239,1.20857,0.913027,4,5,0
74,-1.77517,0.96699,1.52707,4,5,0
74,-1.7954,0.584485,1.55631,2,5,0
74,-1.7945,0.601485,1.58019,12,5,0
74,-1.79232,0.642643,1.62112,3,5,0
74,-1.80307,0.439535,1.81362,6,5,0
74,-1.803,0.440878,2.17473,2,5,0
74,-1.81494,0.215132,2.86538,5,5,0
74,-1.7817,0.843515,3.73761,4,5,0
74,-1.76239,1.20857,0.913027,4,5,0
74,-1.77517,0.96699,1.52707,4,5,0
74,-1.7954,0.584485,1.55631,2,5,0
74,-1.7945,0.601485,1.58019,12,5,0
74,-1.79232,0.642643,1.62112,3,5,0
74,-1.80307,0.439535,1.81362,6,5,0
74,-1.803,0.440878,2.17473,2,5,0
74,-1.81493,0.215401,2.86626,4,5,0
74,-1.7817,0.843515,3.73761,4,5,0
74,-1.82838,-0.0389925,3.54582,22,5,0
74,-1.8287,-0.044971,3.59141,4,5,0
74,-1.83307,-0.127608,3.60394,14,5,0
74,-1.83278,-0.122116,3.77428,25,5,0
74,-1.8336,-0.137578,2.91304,2,5,0
74,-1.82841,-0.0395236,3.54437,17,5,0
74,-1.8287,-0.044971,3.58995,2,5,0
74,-1.83307,-0.127512,3.60506,12,5,0
74,-1.8328,-0.122495,3.77444,21,5,0
74,-1.8336,-0.137578,2.91304,2,5,0
74,-1.80804,0.345587,4.69704,2,6,0
74,-1.7626,1.20455,5.16634,5,6,0
74,-1.76496,1.15999,5.41547,5,6,0
74,-1.80513,0.400614,5.62102,8,6,0
74,-1.80521,0.399028,5.64322,22,6,0
74,-1.80732,0.359193,5.69559,58,6,0
74,-1.79888,0.518721,5.776,4,6,0
74,-1.79873,0.521597,5.79709,7,6,0
74,-1.80804,0.345587,4.6985,1,6,0
74,-1.7626,1.20455,5.16634,5,6,0
74,-1.80513,0.400614,5.62102,8,6,0
74,-1.8052,0.399272,5.64254,14,6,0
74,-1.80734,0.358809,5.6958,27,6,0
74,-1.80243,0.451615,6.29501,2,6,0
74,-1.80243,0.451615,6.29501,2,6,0
74,-1.80896,0.328139,7.11262,8,7,0
74,-1.79946,0.507715,7.41174,5,7,0
74,-1.79192,0.650249,9.25152,10,7,0
74,-1.80896,0.328139,7.11262,8,7,0
74,-1.79946,0.507715,7.41174,5,7,0
74,-1.79192,0.650249,9.25152,10,7,0
74,-1.83178,-0.10313,7.51906,12,7,0
74,-1.80108,0.477115,8.88456,2,7,0
74,-1.83178,-0.10313,7.51906,12,7,0
74,-1.80108,0.477115,8.88456,2,7,0
74,-1.7652,1.15546,10.6993,7,8,0
74,-1.82061,0.108031,12.1744,4,8,0
74,-1.77102,1.04541,12.4478,7,8,0
74,-1.77134,1.03924,12.7715,24,8,0
74,-1.80992,0.30996,10.232,22,8,0
74,-1.82061,0.108031,12.1744,4,8,0
74,-1.77102,1.04541,12.4478,7,8,0
74,-1.77134,1.03924,12.7715,24,8,0
74,-1.80992,0.310108,10.2322,23,8,0
74,-1.76679,1.12536,11.0458,8,8,0
74,-1.76679,1.12536,11.0458,8,8,0
74,-1.77439,0.981753,11.5077,8,8,0
74,-1.77682,0.935786,12.056,8,8,0
74,-1.82902,-0.0510107,12.59,8,8,0
74,-1.81381,0.236491,12.8555,42,8,0
74,-1.77439,0.981753,11.5077,8,8,0
74,-1.77682,0.935786,12.056,8,8,0
74,-1.82902,-0.0510107,12.59,8,8,0
74,-1.81379,0.2368,12.8567,36,8,0
74,-1.97408,-0.410382,-12.8491,4,0,0
74,-1.79243,-0.76733,-14.1971,4,0,0
74,-1.79222,-0.767729,-14.1966,3,0,0
74,-1.86435,-0.625988,-8.40426,4,1,0
74,-1.86435,-0.625988,-8.40426,4,1,0
74,-2.08032,-0.20161,-7.89969,17,2,0
74,-1.81425,-0.724448,-8.0463,5,2,0
74,-2.07953,-0.20316,-7.91121,1,2,0
74,-2.07994,-0.202362,-7.90244,3,2,0
74,-2.08035,-0.201563,-7.89172,3,2,0
74,-1.81425,-0.724448,-8.0463,5,2,0
74,-1.844,-0.665995,-7.99484,5,2,0
74,-1.95925,-0.439528,-7.58233,21,2,0
74,-1.84424,-0.665516,-7.99454,4,2,0
74,-1.95925,-0.439528,-7.58233,21,2,0
74,-1.76505,-0.821123,-8.1648,22,2,0
74,-1.76491,-0.821391,-8.1654,15,2,0
74,-1.90955,-0.537179,-5.15143,7,3,0
74,-1.89102,-0.573584,-4.5669,8,3,0
74,-1.54507,-1.25339,-3.55775,28,3,0
74,-1.90955,-0.537179,-5.15143,7,3,0
74,-1.89111,-0.573417,-4.56645,9,3,0
74,-1.54507,-1.25339,-3.55775,28,3,0
74,-1.88874,-0.578075,-2.4766,4,3,0
74,-1.88886,-0.577836,-2.40769,15,3,0
74,-1.84465,-0.664717,-3.35624,3,3,0
74,-1.84363,-0.666714,-3.34064,10,3,0
74,-1.91332,-0.529764,-2.72465,6,3,0
74,-1.88874,-0.578075,-2.4766,4,3,0
74,-1.88886,-0.577836,-2.40769,15,3,0
74,-1.97347,-0.411579,-4.20176,2,3,0
74,-1.84465,-0.664717,-3.35624,3,3,0
74,-1.84363,-0.666714,-3.34064,10,3,0
74,-1.91332,-0.529764,-2.72465,6,3,0
74,-1.97347,-0.411579,-4.20176,2,3,0
74,-1.77414,-0.803264,-0.246695,2,4,0
74,-1.91434,-0.527767,0.110033,6,4,0
74,-1.77414,-0.803264,-0.246695,2,4,0
74,-1.91434,-0.527767,0.110033,6,4,0
74,-1.75573,-0.839438,0.812378,5,4,0
74,-1.75573,-0.839438,0.812378,5,4,0
74,-1.70404,-0.941013,-1.55226,6,4,0
74,-1.51913,-1.30435,2.10651,3,5,0
74,-1.50044,-1.34108,2.56216,2,5,0
74,-1.67904,-0.990123,2.84287,4,5,0
74,-1.60772,-1.13027,3.80194,2,5,0
74,-1.50044,-1.34108,2.56216,2,5,0
74,-1.67904,-0.990123,2.84287,4,5,0
74,-2.06134,-0.23891,1.21589,13,5,0
74,-2.06134,-0.23891,1.21589,13,5,0
74,-2.09197,-0.178725,2.60924,5,5,0
74,-1.57045,-1.2035,2.17975,7,5,0
74,-2.09234,-0.178006,2.60895,4,5,0
74,-1.58375,-1.17738,5.62736,9,6,0
74,-1.56993,-1.20453,5.65684,4,6,0
74,-1.58352,-1.17784,5.6275,7,6,0
74,-1.56952,-1.20533,5.6566,3,6,0
74,-2.06287,-0.2359,4.07374,3,6,0
74,-2.1093,-0.144667,5.93998,12,6,0
74,-2.06287,-0.2359,4.07374,3,6,0
74,-2.1093,-0.144667,5.93998,12,6,0
74,-1.88142,-0.592449,6.93426,4,7,0
74,-1.98023,-0.398295,7.46416,11,7,0
74,-1.76064,-0.829787,8.22729,7,7,0
74,-1.76674,-0.817809,8.30624,7,7,0
74,-1.88142,-0.592449,6.93426,4,7,0
74,-1.76064,-0.829787,8.22729,7,7,0
74,-1.76674,-0.817809,8.30624,7,7,0
74,-2.02996,-0.300582,10.2119,3,8,0
74,-1.69367,-0.961376,10.8498,4,8,0
74,-2.07335,-0.215323,10.4162,26,8,0
74,-2.08124,-0.199806,10.4396,5,8,0
74,-2.07771,-0.206754,10.6656,4,8,0
74,-1.52767,-1.28758,11.3153,3,8,0
74,-2.07385,-0.21434,11.5423,3,8,0
74,-2.0899,-0.182797,11.5618,2,8,0
74,-1.67112,-1.00569,11.8659,1,8,0
74,-2.07344,-0.215138,10.4166,25,8,0
74,-2.08136,-0.199567,10.4405,4,8,0
74,-2.07771,-0.206754,10.6656,4,8,0
74,-1.52767,-1.28758,11.3153,3,8,0
74,-2.03307,-0.29446,11.3991,9,8,0
74,-2.07344,-0.215138,11.5428,2,8,0
74,-2.0899,-0.182797,11.5618,2,8,0
74,-1.67112,-1.00569,11.8659,1,8,0
74,-2.05564,-0.250114,12.1238,5,8,0
74,-1.49404,-1.35366,12.8659,16,8,0
74,-2.03307,-0.29446,11.3991,9,8,0
74,-2.02086,-0.31845,11.4416,8,8,0
74,-2.05564,-0.250114,12.1238,5,8,0
74,-1.52177,-1.29916,12.3118,4,8,0
74,-1.18508,-1.85904,-11.7153,27,0,0
74,-0.993482,-1.9836,-9.16158,4,1,0
74,-0.606985,-2.23486,-9.15719,1,1,0
74,-0.860518,-2.07004,-10.5373,10,1,0
74,-1.02526,-1.96294,-10.4473,5,1,0
74,-1.1625,-1.87372,-9.53585,14,1,0
74,-0.606985,-2.23486,-9.15719,1,1,0
74,-0.860518,-2.07004,-10.5373,10,1,0
74,-1.02526,-1.96294,-10.4473,5,1,0
74,-0.966439,-2.00118,-10.1937,4,1,0
74,-1.1625,-1.87372,-9.53536,12,1,0
74,-0.579942,-2.25244,-5.5624,7,2,0
74,-1.49116,-1.66006,-6.93508,6,2,0
74,-0.579942,-2.25244,-5.5624,7,2,0
74,-1.49116,-1.66006,-6.93508,6,2,0
74,-1.3389,-1.75904,-5.78334,22,2,0
74,-1.33888,-1.75906,-5.7831,21,2,0
74,-1.08751,-1.92247,-3.96053,9,3,0
74,-1.08751,-1.92247,-3.96053,9,3,0
74,-1.41604,-1.70889,-3.38977,10,3,0
74,-1.38073,-1.73185,-3.84747,3,3,0
