event,x,y,z,adc,zelem,layer
74,-31.4168,24.7375,-38.2216,292,1,22
74,-32.7184,25.7901,-37.1098,283,1,23
74,-33.43,26.5341,-36.6094,126,1,24
74,-34.1423,27.2774,-35.9848,3180,1,25
74,-34.8529,28.0226,-35.3058,300,1,26
74,-35.5639,28.7675,-34.6992,230,1,27
74,-36.2591,29.5319,-34.1455,151,1,28
74,-36.9454,30.3075,-33.5518,463,1,29
74,-37.6642,31.0427,-33.0163,335,1,30
74,-38.3958,31.7617,-32.4187,315,1,31
74,-39.1057,32.5079,-31.7044,522,1,32
74,-39.7864,33.2905,-30.9704,668,1,33
74,-40.4944,34.036,-30.5264,238,1,34
74,-41.1595,34.8256,-29.9203,263,1,35
74,-41.8878,35.5432,-29.2427,225,1,36
74,-42.5263,36.3632,-28.643,310,1,37
74,-43.1991,37.144,-27.9461,670,1,38
74,-44.5738,38.5209,-26.7308,722,1,39
74,-45.282,39.3772,-26.2995,643,1,40
74,-45.9658,40.2614,-25.6033,139,1,41
74,-46.7424,41.0396,-25.109,284,1,42
74,-47.4281,41.9216,-24.1569,244,1,43
74,-48.1561,42.7553,-23.5732,416,1,44
74,-48.8362,43.6436,-22.9382,325,1,45
74,-49.5775,44.4621,-22.4055,94,1,46
74,-50.2507,45.3584,-21.6413,544,1,47
74,-50.9145,46.2653,-20.8937,286,1,48
74,-51.6378,47.1044,-20.3116,423,1,49
74,-52.2615,48.0493,-19.5287,551,1,50
74,-52.9789,48.8862,-18.9355,1393,1,51
74,-53.6625,49.7586,-18.1788,168,1,52
74,-54.32,50.6583,-17.6618,614,1,53
74,-54.9989,51.5355,-16.9285,249,1,54
74,-26.4512,17.1085,-15.0874,129,1,7
74,-26.9538,17.3698,-14.7438,211,1,8
74,-27.5085,17.5637,-14.3069,108,1,9
74,-28.6018,17.9467,-13.5701,79,1,11
74,-29.135,18.1534,-13.5488,388,1,12
74,-29.6095,18.468,-13.4376,132,1,13
74,-30.1827,18.6088,-13.2322,47,1,14
74,-30.7593,18.7552,-12.5969,90,1,15
74,-31.3194,18.9177,-12.5018,127,1,16
74,-31.8918,19.0711,-12.1403,45,1,17
74,-32.454,19.2299,-11.7927,517,1,18
74,-33.0043,19.4197,-11.5847,172,1,19
74,-33.5804,19.5557,-11.2589,167,1,20
74,-34.1808,19.6572,-10.9049,263,1,21
74,-34.7209,19.8435,-10.6841,1079,1,22
74,-36.4761,20.1245,-9.83986,115,1,23
74,-37.5757,20.2422,-9.27736,701,1,24
74,-38.6199,20.461,-9.0565,190,1,25
74,-39.6747,20.6603,-8.49054,438,1,26
74,-40.7941,20.6989,-7.86435,174,1,27
74,-41.8646,20.8359,-7.4038,828,1,28
74,-42.9469,20.9487,-6.87842,45,1,29
74,-44.1435,20.83,-6.19447,218,1,30
74,-45.2814,20.8026,-5.6571,497,1,31
74,-46.3501,20.9081,-5.19446,898,1,32
74,-47.5881,20.6288,-4.47677,939,1,33
74,-48.6727,20.6981,-4.0404,360,1,34
74,-49.7613,20.7583,-3.61006,88,1,35
74,-50.9397,20.5605,-2.91963,529,1,36
74,-52.1025,20.3867,-2.25961,647,1,37
74,-53.2264,20.3127,-1.84432,892,1,38
74,-55.4669,19.8721,-0.818705,435,1,39
74,-56.7103,19.6221,-0.129167,814,1,40
74,-57.9788,19.2983,0.531403,292,1,41
74,-59.1946,19.1295,1.02896,307,1,42
74,-60.4756,18.7243,1.53322,148,1,43
74,-61.7331,18.3303,2.56364,244,1,44
74,-62.9861,17.9518,3.00975,218,1,45
74,-64.1132,18.0054,3.1185,353,1,46
74,-65.5901,16.7317,4.68169,127,1,47
